date	store_number	membership_id	membership_type
2019-01-24	326	0	Diamond
2018-01-16	345	1	Platinum
2017-03-16	356	2	Platinum
2017-03-30	356	3	Gold
2017-03-22	219	4	Basic
2017-02-06	370	5	Basic
2019-03-15	104	6	Basic
2018-01-22	353	7	Basic
2017-02-07	431	8	Basic
2019-03-27	240	9	Basic
2019-02-26	142	10	Platinum
2019-01-12	194	11	Platinum
2017-02-21	89	12	Basic
2017-02-04	91	13	Platinum
2019-01-04	186	14	Diamond
2017-02-04	262	15	Basic
2017-03-19	289	16	Basic
2018-02-26	420	17	Basic
2017-01-28	163	18	Basic
2018-03-22	192	19	Gold
2019-03-18	136	20	Platinum
2019-01-31	29	21	Basic
2017-01-19	323	22	Basic
2017-02-11	416	23	Basic
2017-02-15	218	24	Basic
2017-02-21	304	25	Diamond
2019-02-27	332	26	Gold
2018-01-29	268	27	Basic
2018-03-23	396	28	Basic
2019-01-04	494	29	Basic
2019-03-26	327	30	Basic
2017-01-05	116	31	Basic
2018-02-21	313	32	Basic
2019-02-07	408	33	Platinum
2017-01-07	326	34	Basic
2019-02-08	188	35	Basic
2018-02-03	408	36	Basic
2017-02-18	360	37	Platinum
2019-01-13	53	38	Basic
2019-01-14	143	39	Basic
2017-01-10	80	40	Basic
2019-01-22	362	41	Basic
2019-01-07	273	42	Basic
2019-02-16	356	43	Diamond
2017-02-16	92	44	Gold
2018-02-20	238	45	Basic
2017-02-18	305	46	Basic
2019-03-17	453	47	Basic
2019-01-13	350	48	Gold
2018-01-13	402	49	Basic
2019-02-20	118	50	Basic
2019-02-10	276	51	Basic
2018-03-07	487	52	Basic
2019-01-12	145	53	Gold
2018-02-14	88	54	Basic
2018-02-23	114	55	Basic
2019-03-09	12	56	Diamond
2019-01-22	411	57	Basic
2018-02-24	383	58	Gold
2019-01-13	191	59	Basic
2018-01-08	85	60	Basic
2018-02-23	285	61	Gold
2018-01-23	121	62	Platinum
2019-02-04	388	63	Basic
2017-03-11	475	64	Diamond
2019-01-09	337	65	Basic
2018-01-31	25	66	Basic
2019-01-08	373	67	Basic
2019-02-17	480	68	Gold
2019-01-01	195	69	Platinum
2017-02-12	207	70	Basic
2018-02-12	395	71	Basic
2018-02-23	351	72	Basic
2019-03-17	430	73	Basic
2019-03-07	8	74	Platinum
2017-02-22	254	75	Basic
2017-01-17	5	76	Basic
2017-03-07	481	77	Platinum
2018-03-02	125	78	Basic
2018-03-10	201	79	Basic
2017-03-01	288	80	Basic
2017-01-20	350	81	Basic
2017-03-16	26	82	Basic
2019-02-17	258	83	Basic
2019-03-03	403	84	Basic
2017-03-03	349	85	Diamond
2018-02-26	408	86	Basic
2018-01-19	364	87	Gold
2019-01-13	463	88	Basic
2019-03-29	311	89	Basic
2018-03-23	230	90	Basic
2019-02-19	336	91	Basic
2017-01-20	129	92	Basic
2017-02-14	482	93	Basic
2019-01-09	225	94	Gold
2018-02-09	15	95	Basic
2018-01-23	92	96	Platinum
2019-03-13	154	97	Gold
2019-01-06	427	98	Basic
2019-01-15	111	99	Gold
2018-01-23	382	100	Basic
2017-01-26	106	101	Basic
2018-01-17	143	102	Basic
2017-01-04	62	103	Platinum
2018-02-09	276	104	Gold
2019-01-22	104	105	Gold
2017-01-06	388	106	Basic
2017-03-01	17	107	Gold
2019-01-29	472	108	Basic
2018-01-03	3	109	Platinum
2018-01-04	76	110	Diamond
2017-02-01	166	111	Basic
2019-01-30	375	112	Basic
2018-01-23	463	113	Platinum
2018-02-08	5	114	Basic
2018-01-08	239	115	Gold
2019-03-06	335	116	Basic
2019-02-23	443	117	Platinum
2018-01-04	239	118	Gold
2017-03-07	51	119	Gold
2018-01-24	390	120	Basic
2019-02-03	375	121	Platinum
2019-01-01	3	122	Basic
2018-02-24	23	123	Basic
2018-02-01	77	124	Gold
2019-01-29	273	125	Basic
2019-03-29	311	126	Gold
2019-02-24	214	127	Basic
2019-01-19	397	128	Basic
2017-01-09	458	129	Basic
2019-01-10	198	130	Basic
2018-03-04	367	131	Basic
2018-01-22	408	132	Basic
2017-02-01	14	133	Basic
2019-02-20	281	134	Basic
2017-02-22	100	135	Basic
2017-02-14	263	136	Basic
2017-03-16	153	137	Basic
2017-02-03	374	138	Basic
2018-01-11	431	139	Basic
2017-02-28	56	140	Basic
2019-01-29	34	141	Diamond
2018-01-26	401	142	Gold
2017-03-15	253	143	Basic
2018-03-02	268	144	Basic
2017-02-13	153	145	Gold
2019-02-28	376	146	Basic
2019-03-09	456	147	Gold
2018-03-09	48	148	Gold
2017-02-10	65	149	Gold
2018-01-29	37	150	Basic
2019-02-25	122	151	Basic
2018-01-15	369	152	Basic
2018-02-16	103	153	Diamond
2018-02-12	244	154	Basic
2017-02-21	244	155	Gold
2019-01-31	148	156	Gold
2017-01-09	406	157	Gold
2018-03-12	416	158	Basic
2017-03-12	472	159	Basic
2017-01-14	80	160	Basic
2017-03-11	245	161	Gold
2019-03-19	460	162	Diamond
2018-03-26	263	163	Basic
2018-03-13	395	164	Gold
2018-03-12	27	165	Basic
2017-03-27	448	166	Basic
2019-02-13	328	167	Diamond
2017-03-19	289	168	Basic
2017-01-13	16	169	Basic
2017-03-01	304	170	Basic
2018-03-22	450	171	Basic
2019-01-23	146	172	Platinum
2018-01-13	236	173	Basic
2019-03-01	17	174	Basic
2019-01-14	226	175	Basic
2017-03-08	381	176	Basic
2018-03-18	168	177	Basic
2019-02-14	330	178	Basic
2019-01-02	99	179	Basic
2017-01-17	398	180	Basic
2019-02-26	325	181	Basic
2019-02-19	27	182	Basic
2019-03-29	198	183	Basic
2017-02-25	256	184	Basic
2017-01-28	308	185	Basic
2019-03-03	379	186	Gold
2018-01-26	247	187	Basic
2017-01-17	15	188	Basic
2018-03-06	21	189	Platinum
2018-03-25	491	190	Platinum
2019-03-19	126	191	Platinum
2018-01-11	139	192	Basic
2018-01-16	208	193	Basic
2018-02-02	451	194	Basic
2019-01-23	196	195	Basic
2017-02-24	98	196	Basic
2017-01-13	393	197	Basic
2019-03-15	268	198	Platinum
2018-01-12	358	199	Gold
2017-01-05	77	200	Basic
2019-01-21	89	201	Basic
2017-02-27	371	202	Basic
2018-03-06	276	203	Basic
2019-02-03	337	204	Gold
2017-01-31	126	205	Basic
2018-03-26	134	206	Basic
2017-02-05	36	207	Basic
2018-01-08	448	208	Basic
2018-03-24	417	209	Diamond
2018-02-17	381	210	Basic
2018-01-14	125	211	Basic
2018-03-22	324	212	Basic
2019-02-24	255	213	Basic
2019-03-16	269	214	Gold
2017-01-30	462	215	Basic
2019-01-24	103	216	Diamond
2018-01-02	181	217	Gold
2018-02-22	213	218	Basic
2017-03-13	236	219	Basic
2017-03-10	318	220	Basic
2019-03-09	277	221	Basic
2017-02-25	225	222	Basic
2018-01-15	476	223	Basic
2019-01-29	444	224	Basic
2019-02-03	6	225	Basic
2018-02-03	360	226	Basic
2019-03-13	23	227	Basic
2018-01-31	119	228	Platinum
2018-03-07	212	229	Gold
2018-02-11	490	230	Basic
2019-01-24	207	231	Basic
2017-03-17	183	232	Basic
2019-01-17	165	233	Gold
2018-03-05	295	234	Basic
2019-03-10	307	235	Basic
2019-02-15	34	236	Basic
2018-03-17	59	237	Basic
2018-02-05	84	238	Gold
2017-02-03	411	239	Basic
2017-02-15	336	240	Gold
2018-03-14	463	241	Platinum
2017-01-01	316	242	Basic
2017-02-15	155	243	Basic
2019-03-19	359	244	Basic
2017-01-21	453	245	Basic
2018-03-06	422	246	Gold
2018-03-05	347	247	Basic
2019-01-24	327	248	Gold
2019-01-15	178	249	Basic
2017-03-11	38	250	Basic
2019-01-09	475	251	Platinum
2018-01-27	205	252	Basic
2018-03-27	423	253	Gold
2019-02-04	157	254	Gold
2019-03-05	285	255	Basic
2019-02-24	485	256	Basic
2018-02-06	467	257	Gold
2018-01-20	7	258	Basic
2017-01-17	370	259	Basic
2017-03-12	147	260	Platinum
2018-01-15	119	261	Basic
2018-02-19	377	262	Basic
2018-03-15	143	263	Platinum
2017-02-19	31	264	Basic
2017-02-18	315	265	Gold
2019-02-23	140	266	Basic
2019-03-09	97	267	Basic
2017-01-11	177	268	Basic
2018-01-26	321	269	Basic
2017-02-17	317	270	Platinum
2019-03-02	137	271	Basic
2019-03-19	437	272	Basic
2018-01-03	186	273	Gold
2019-01-26	98	274	Basic
2018-01-28	211	275	Basic
2018-02-17	494	276	Gold
2017-02-01	225	277	Gold
2017-03-16	494	278	Gold
2017-01-27	77	279	Diamond
2017-03-15	134	280	Basic
2017-02-18	252	281	Basic
2017-02-24	106	282	Gold
2018-03-07	396	283	Basic
2018-02-27	367	284	Gold
2019-03-30	159	285	Basic
2017-01-03	288	286	Basic
2018-03-30	433	287	Basic
2019-01-26	169	288	Basic
2019-02-03	55	289	Basic
2017-02-04	244	290	Basic
2018-03-23	231	291	Basic
2018-01-11	1	292	Basic
2017-01-15	64	293	Gold
2017-02-17	321	294	Basic
2017-03-24	69	295	Gold
2018-01-13	93	296	Basic
2018-03-02	115	297	Basic
2019-01-04	410	298	Platinum
2019-02-11	240	299	Basic
2019-03-14	278	300	Basic
2018-01-19	262	301	Basic
2018-03-25	96	302	Gold
2017-03-20	479	303	Basic
2019-02-02	23	304	Diamond
2018-01-06	355	305	Gold
2018-02-04	277	306	Basic
2018-03-20	275	307	Basic
2018-03-21	123	308	Gold
2017-02-11	456	309	Basic
2018-01-23	102	310	Basic
2019-03-11	243	311	Basic
2019-01-04	114	312	Platinum
2017-01-31	158	313	Diamond
2018-01-10	429	314	Basic
2019-02-26	203	315	Basic
2017-01-21	305	316	Diamond
2017-01-06	477	317	Basic
2018-02-03	313	318	Basic
2019-03-18	433	319	Basic
2019-03-13	109	320	Platinum
2017-01-29	27	321	Platinum
2019-02-10	211	322	Gold
2018-02-05	360	323	Basic
2017-01-30	10	324	Gold
2018-02-13	108	325	Basic
2019-01-02	239	326	Platinum
2019-01-02	274	327	Basic
2017-02-07	21	328	Basic
2019-01-23	257	329	Basic
2017-03-10	117	330	Basic
2018-01-30	323	331	Basic
2018-01-10	252	332	Platinum
2019-01-27	339	333	Basic
2017-01-30	298	334	Gold
2017-03-30	388	335	Gold
2017-03-25	226	336	Basic
2018-03-26	453	337	Basic
2017-03-17	167	338	Gold
2017-02-25	9	339	Platinum
2018-02-12	188	340	Basic
2018-03-17	14	341	Basic
2017-02-06	213	342	Platinum
2019-03-22	129	343	Basic
2017-01-01	398	344	Basic
2018-02-16	388	345	Basic
2019-03-29	474	346	Basic
2018-02-21	352	347	Basic
2018-03-23	30	348	Gold
2017-03-11	168	349	Gold
2019-03-23	112	350	Basic
2018-03-12	265	351	Basic
2017-03-11	191	352	Basic
2019-01-25	242	353	Basic
2017-01-09	308	354	Basic
2017-02-21	15	355	Platinum
2018-03-19	74	356	Basic
2017-03-25	422	357	Diamond
2019-02-01	186	358	Basic
2019-01-06	401	359	Basic
2018-03-08	332	360	Basic
2019-02-15	430	361	Basic
2017-03-23	480	362	Gold
2019-03-05	481	363	Basic
2019-03-26	484	364	Platinum
2017-03-14	312	365	Basic
2019-03-24	205	366	Basic
2019-02-18	165	367	Gold
2018-03-02	23	368	Basic
2017-02-04	328	369	Gold
2019-02-16	361	370	Basic
2019-02-23	431	371	Basic
2017-03-14	149	372	Basic
2017-01-07	115	373	Basic
2019-03-23	31	374	Basic
2017-01-22	440	375	Basic
2018-01-26	114	376	Basic
2019-01-06	346	377	Platinum
2019-01-16	155	378	Basic
2017-03-25	7	379	Gold
2019-01-03	239	380	Basic
2017-03-25	437	381	Basic
2019-03-25	162	382	Basic
2018-03-07	428	383	Basic
2019-02-25	133	384	Basic
2017-01-21	276	385	Gold
2018-02-14	467	386	Basic
2017-02-14	310	387	Platinum
2019-03-06	388	388	Basic
2017-03-26	109	389	Basic
2018-03-10	335	390	Platinum
2019-01-14	99	391	Basic
2017-01-22	485	392	Basic
2017-01-05	305	393	Platinum
2019-01-12	121	394	Gold
2019-03-05	444	395	Gold
2018-02-05	113	396	Basic
2019-03-11	397	397	Basic
2019-01-05	253	398	Basic
2017-02-22	177	399	Gold
2017-03-30	452	400	Basic
2018-01-13	244	401	Basic
2019-02-04	364	402	Basic
2017-02-08	307	403	Basic
2019-03-02	271	404	Basic
2019-03-03	6	405	Basic
2018-03-16	385	406	Basic
2019-01-16	312	407	Platinum
2017-02-11	27	408	Basic
2019-03-05	444	409	Basic
2019-02-03	358	410	Basic
2019-01-07	133	411	Platinum
2019-03-26	184	412	Basic
2018-01-19	440	413	Gold
2019-02-03	346	414	Basic
2018-01-11	498	415	Platinum
2017-02-13	297	416	Diamond
2017-03-02	486	417	Basic
2018-01-03	251	418	Basic
2019-01-29	251	419	Gold
