product_id	product_name	retail_price	manufacturer_id	category_name
1	Zeejubin	258.36	63	Microwave
10	Trumunentor	110.32	276	Air Purifier
100	Surglibewistor	310.13	609	Recording Equipment
1000	Zeesipplax	198.47	868	Satellite Radio
10000	Grosipegicator	243.10	953	Car Audio
10001	Zeejubegan	479.34	771	DVD
10002	Unsapex	54.05	774	Air Conditioning
10003	Tipsapilower	210.17	534	Dryer
10004	Endnipanower	168.67	493	Phone
10005	Froerantor	360.67	734	TV
10006	Unglibin	461.40	372	Car Audio
10006	Unglibin	461.40	372	Projector
10006	Unglibin	461.40	372	Tool
10007	Unjubplax	408.04	497	Computer
10007	Unjubplax	408.04	497	Satellite Radio
10008	Dopdudantor	325.55	523	TV
10009	Tipbanefover	298.99	946	Car Audio
1001	Qwipebollazz	121.51	809	Bluray
10010	Zeetanegax	52.03	114	Bluray
10011	Hapkilegor	158.14	329	Dryer
10012	Tupkilanax	436.96	645	Vacuum Cleaner
10013	Rapglibepor	18.05	634	Computer
10014	Tupquestomman	92.53	493	Projector
10015	Varwerpedgantor	21.11	113	GPS
10015	Varwerpedgantor	21.11	113	TV
10016	Endsapaquar	389.11	954	Phone
10016	Endsapaquar	389.11	954	Refridgerator
10016	Endsapaquar	389.11	954	Video Game
10017	Zeemunplex	379.71	947	Air Purifier
10018	Emrobor	216.40	238	Tool
10019	Thruwerpupentor	17.35	27	Video Camera
1002	Winnipewover	328.40	612	GPS
1002	Winnipewover	328.40	612	Phone
10020	Zeepickover	109.56	715	MP3 Player
10021	Klibanedex	410.73	400	Air Purifier
10022	Thrujuban	397.46	899	Scanner
10023	Lomvenor	94.04	41	Car Audio
10023	Lomvenor	94.04	41	DVD
10024	Trupickax	155.15	315	Air Purifier
10025	Barwerpicin	239.20	208	Video Game
10026	Intinefex	280.11	299	Satellite Radio
10027	Surtanantor	188.36	115	Camera Lens
10028	Trurobin	477.14	6	Air Conditioning
10028	Trurobin	477.14	6	Fax
10029	Montanazz	254.52	64	TV
1003	Klivenewentor	4.51	986	Printer
10030	Insapicator	453.52	930	Bluray
10031	Adwerpilover	253.72	679	Video Game
10032	Rappebollentor	297.29	670	Camera
10033	Grotanover	118.64	783	Scanner
