date	store_number	product_id	quantity
2018-02-15	489	1	172
2019-02-21	216	100	30
2019-01-09	76	1000	183
2018-03-21	246	10002	167
2017-03-12	60	10003	43
2019-01-06	141	10003	9
2019-02-16	417	10005	15
2017-02-01	408	10008	182
2019-01-22	245	1001	178
2018-03-28	199	10011	7
2017-02-14	237	10014	86
2018-03-02	15	10016	46
2017-01-04	336	10019	411
2018-02-26	119	10023	159
2018-02-14	164	10029	175
2017-02-12	138	10031	204
2018-03-03	457	10031	205
2019-01-19	255	10031	40
2017-01-12	472	10033	179
2018-02-10	344	10034	5
2018-03-21	499	10037	25
2018-02-14	497	10038	110
2018-02-15	217	10043	151
2018-03-29	167	10043	255
2017-02-11	251	10044	178
2017-02-23	288	10046	412
2018-01-26	480	10046	64
2019-01-04	165	10046	274
2017-02-21	113	10047	37
2018-03-30	472	10048	160
2018-01-20	285	10052	421
2018-03-07	461	10052	403
2017-01-12	465	10053	126
2018-01-28	321	10053	178
2017-03-04	484	10056	138
2018-01-17	399	10056	47
2019-02-27	259	10061	149
2017-03-23	485	10064	107
2018-02-04	162	10065	94
2017-01-22	218	10067	164
2018-02-12	173	10067	158
2019-01-05	71	10067	16
2019-02-01	247	10067	138
2019-03-05	400	10068	50
2019-01-30	487	10072	71
2017-02-13	346	10073	103
2017-03-10	165	10077	146
2018-03-19	473	10077	141
2019-02-16	396	1008	135
2018-03-14	358	10080	12
2019-03-08	471	10081	131
2017-01-09	446	10082	103
2019-03-05	402	10085	246
2018-01-31	273	10086	238
2017-02-14	380	1009	152
2017-02-06	339	10090	159
2018-03-30	61	10090	13
2019-03-03	46	10094	174
2017-03-09	199	10096	794
2018-01-17	188	10096	547
2017-02-16	280	10098	116
2019-03-14	2	10099	103
2019-02-14	399	101	166
2019-03-13	56	101	30
2018-03-24	93	10101	18
2019-01-10	164	10101	129
2019-03-24	47	10101	120
2017-01-23	461	10102	171
2017-02-24	14	10103	74
2017-03-25	391	10105	191
2019-01-07	71	10107	144
2018-03-18	148	10108	44
2018-01-21	193	10111	46
2018-03-01	443	10114	72
2017-01-28	326	10115	385
2018-01-20	70	10117	42
2018-03-09	312	10122	102
2019-02-28	296	10127	191
2019-01-04	184	10128	165
2019-03-13	104	10133	108
2018-01-03	39	10136	32
2018-03-11	344	10149	166
2019-01-07	314	1015	27
2019-02-26	25	10153	194
2019-03-13	219	10154	52
2019-01-23	104	10156	207
2018-02-16	51	10157	54
2019-03-02	274	1016	184
2019-02-03	260	10163	16
2019-01-02	227	10164	17
2019-01-08	239	10165	286
2017-01-02	358	10166	275
2019-02-16	13	10171	133
2018-03-26	169	10172	234
2019-02-13	131	10173	3
2017-01-27	190	10174	42
2019-02-16	233	10179	23
2017-02-28	161	10180	208
2017-01-28	97	10183	105
2017-03-11	411	10184	80
2018-03-07	286	10185	7
2017-01-18	259	10188	155
2018-01-06	242	10191	72
2018-01-01	172	10193	93
2018-03-29	293	10194	172
2017-02-25	160	10195	178
2019-01-11	95	10195	433
2019-02-20	31	10195	229
2017-01-28	107	10196	232
2017-01-13	248	10197	105
2018-02-14	482	10199	197
2017-01-15	230	102	42
2019-03-27	495	10202	244
2019-03-08	17	10205	228
2017-01-02	121	10208	56
2017-03-06	2	10208	17
2017-01-12	231	10210	82
2019-01-25	102	10210	7
2019-01-28	110	10211	150
2018-01-13	3	10212	153
2019-03-21	253	10214	168
2018-03-21	173	10216	55
2019-01-18	376	10216	205
2017-01-04	14	10218	190
2018-02-16	75	10218	192
2019-01-27	138	10220	91
2018-03-09	332	10222	185
2018-01-30	395	10224	277
2018-02-27	146	10224	295
2019-03-07	87	10224	271
2019-03-21	99	10225	14
2018-03-10	307	10227	137
2019-02-11	426	10229	60
2017-01-24	23	10230	929
2019-02-03	174	10230	1
2019-02-23	163	10230	963
2019-01-17	15	10233	116
2018-03-20	37	10234	44
2019-02-08	351	10234	34
2018-03-04	478	10238	81
2019-02-13	244	10244	227
2019-03-08	104	10244	7
2018-02-27	108	10246	193
2017-02-07	374	1025	94
2018-03-29	375	10251	133
2017-03-20	23	10253	43
2019-01-28	90	10254	207
2019-02-07	204	10255	62
2017-03-12	308	10256	125
2018-02-07	83	1026	28
2019-02-17	39	1026	32
2019-02-23	187	10262	163
2019-01-18	144	10268	48
2018-02-07	241	10269	168
2019-01-14	482	10269	7
2018-03-28	130	10272	202
2017-02-24	39	10273	196
2017-02-28	270	10273	107
2018-02-10	47	10276	91
2019-03-06	459	10277	231
2019-03-27	113	10279	37
2017-01-02	60	10280	74
2019-03-22	492	10280	30
2017-01-06	241	10281	191
2017-02-28	335	10285	128
2017-01-09	398	10286	51
2018-01-28	385	10288	79
2019-03-29	317	1029	47
2019-01-19	163	10292	236
2017-01-11	41	10295	178
2017-02-01	41	10295	1
2018-03-18	367	10296	51
2018-02-24	436	10300	129
2019-02-20	24	10301	222
2018-02-02	428	10303	10
2017-01-16	368	10304	488
2017-03-28	105	10306	164
2019-03-11	277	10309	148
2019-01-07	213	1031	123
2019-01-26	289	1031	11
2018-01-30	230	10313	184
2019-03-14	212	10313	116
2018-02-28	171	10314	172
2017-02-26	460	10319	197
2017-03-07	223	10319	157
2017-01-19	334	1032	215
2017-01-04	214	10322	96
2017-03-29	164	10322	66
2018-02-06	122	10324	38
2017-03-13	101	10325	108
2017-03-20	281	10326	463
2018-03-29	164	10326	97
2018-01-08	203	10327	88
2019-01-09	223	10327	31
2019-02-24	391	10333	132
2019-01-19	303	10336	21
2019-02-25	136	10338	218
2019-03-08	104	10339	29
2017-02-22	23	1034	121
2017-02-13	277	10340	157
2019-01-02	468	10342	36
2018-02-04	453	10348	84
2017-03-05	473	10351	535
2017-03-16	64	10352	158
2019-03-07	276	10356	68
2019-03-14	316	10361	129
2018-02-19	119	10365	150
2017-01-06	8	10370	56
2018-01-11	488	10371	184
2019-03-29	428	10372	142
2017-02-26	462	10373	128
2018-01-13	263	10374	213
2019-01-03	139	10374	108
2019-03-21	101	10375	39
2018-03-01	361	10376	174
2018-01-02	299	10377	136
2017-02-23	160	10379	121
2019-03-20	92	1038	99
2018-01-24	93	10380	122
2017-03-22	68	10386	189
2017-03-18	260	10389	11
2019-01-07	196	10396	210
2018-01-30	249	10397	144
2019-02-10	347	10397	208
2018-01-18	273	10398	157
2018-02-19	253	10398	144
2019-02-11	225	104	232
2019-02-16	293	1040	177
2019-02-04	363	10402	10
2017-01-01	183	10407	413
2017-03-07	134	10407	49
2017-03-16	187	10408	180
2018-01-02	396	10408	50
2019-03-29	336	10408	92
2019-03-23	138	10411	199
2018-01-18	34	10413	71
2017-02-18	38	10414	21
2018-02-22	300	10414	80
2019-02-23	488	10416	23
2017-03-27	247	10417	131
2017-03-03	175	10421	46
2019-02-03	141	10421	156
2019-01-25	363	10423	106
2019-02-12	283	10425	212
2018-03-19	212	10428	113
2017-01-15	317	10429	107
2017-03-24	186	1043	10
2018-02-01	367	10430	190
2017-02-20	500	10433	207
2018-03-22	191	10434	146
2019-02-24	386	10435	184
2019-01-11	327	10436	196
2019-02-15	323	1044	476
2017-03-05	490	10441	147
2018-01-29	138	10441	84
2019-03-08	309	10441	125
2019-03-08	334	10441	58
2019-01-11	397	10447	232
2017-02-14	15	10449	189
2018-01-29	296	10450	170
2019-03-30	498	10451	26
2018-03-22	158	10452	281
2018-03-11	133	10457	141
2017-01-28	390	10458	7
2018-03-03	108	10458	5
2017-03-27	493	1046	152
2018-02-25	31	10460	8
2019-03-25	30	10461	202
2019-03-07	22	10462	180
2017-02-28	381	10465	82
2018-03-25	215	10468	210
2019-02-01	323	10469	33
2019-03-29	387	10469	247
2017-01-25	468	1047	91
2018-01-26	409	10470	593
2019-03-06	28	10473	202
2019-01-07	105	10474	88
2019-02-26	238	10474	234
2017-01-03	297	10475	199
2019-03-26	167	10476	19
2018-01-17	7	10477	178
2019-01-06	172	1048	168
2019-02-13	59	1048	15
2017-03-22	174	10483	193
2017-03-30	419	10485	20
2019-03-08	91	10486	29
2018-01-10	469	10487	66
2018-02-05	397	10487	34
2018-02-24	256	10488	283
2017-03-15	478	10490	452
2017-03-23	101	10491	137
2018-03-11	6	10491	172
2018-02-12	75	10496	6
2017-02-06	71	10497	20
2019-03-10	211	105	80
2018-01-24	491	10500	151
2018-03-22	227	10500	48
2019-03-03	319	10501	55
2017-01-17	334	10502	432
2017-03-22	35	10508	4
2019-03-02	201	10510	908
2017-03-26	211	10511	102
2019-02-15	250	10513	189
2017-03-27	387	10514	17
2019-02-23	141	10515	57
2019-01-18	161	10516	149
2019-02-01	250	1052	162
2018-02-11	175	10523	112
2018-03-26	62	10524	219
2018-02-15	100	10526	159
2019-02-23	413	10526	3
2019-03-22	6	10528	164
2019-03-08	179	10531	147
2017-02-02	472	10532	13
2019-03-15	54	10532	191
2019-01-16	101	10535	147
2018-01-04	424	10536	179
2018-01-30	265	10536	79
2019-03-01	288	10536	64
2018-01-31	325	10538	144
2019-03-07	57	10539	18
2018-02-22	43	1054	7
2019-01-20	476	10540	215
2017-02-04	329	10541	97
2017-03-01	435	10542	478
2017-03-25	342	10547	119
2019-03-24	398	10549	147
2017-01-26	44	10554	131
2018-02-01	71	10554	101
2017-03-07	2	10555	53
2017-03-18	357	10556	189
2019-01-28	26	10556	186
2018-03-26	316	10560	70
2019-03-27	8	10560	202
2018-03-19	186	10561	124
2017-03-18	2	10562	163
2017-03-11	309	10565	589
2018-02-15	339	10565	14
2019-01-29	92	10566	79
2018-03-03	58	10568	56
2019-01-12	286	10568	236
2019-01-20	460	10568	22
2019-01-22	425	10568	26
2018-01-05	427	10570	172
2019-01-24	113	10574	63
2017-03-01	179	10575	51
2019-01-06	133	10575	102
2018-03-11	191	10577	28
2019-03-22	34	10577	86
2017-03-11	385	10578	61
2018-01-11	465	10578	192
2017-03-10	422	10580	166
2019-03-30	379	10581	28
2018-03-13	150	10582	50
2018-03-14	310	10583	20
2017-03-07	163	10585	178
2019-02-04	47	10589	23
2019-02-23	24	10592	200
2019-01-30	191	10597	187
2018-03-18	228	10599	12
2017-02-13	120	1060	213
2018-02-22	260	10600	164
2019-02-13	212	10600	116
2017-03-21	343	10603	123
2017-02-14	67	10608	227
2019-01-01	259	1061	58
2018-02-21	360	10617	65
2017-02-26	12	1062	228
2018-02-18	8	1062	86
2017-01-11	223	10620	470
2017-03-26	473	10620	53
2019-02-18	165	10621	142
2019-02-01	385	10622	30
2017-01-18	464	10623	12
2018-03-30	260	10623	6
2017-01-12	66	10626	152
2017-03-18	307	1063	80
2017-02-24	413	10630	120
2017-02-25	47	10630	201
2019-02-18	238	10630	101
2017-02-16	125	10632	172
2017-02-18	222	10633	219
2019-01-17	75	10635	199
2019-01-04	20	10638	167
2019-03-02	183	1064	215
2017-01-27	87	10649	339
2019-01-24	74	1065	50
2019-01-02	30	10652	208
2017-01-08	401	10653	67
2019-01-21	290	10655	2
2017-03-13	185	10657	395
2018-03-30	160	10657	455
2017-03-17	113	10659	286
2017-03-24	181	1066	236
2019-03-14	19	10660	15
2019-01-12	204	10661	70
2018-01-14	167	10662	83
2019-01-18	356	10666	527
2017-03-23	249	10668	13
2018-02-19	402	10669	249
2018-02-10	460	1067	304
2018-03-05	190	1067	213
2018-03-13	145	1067	176
2017-01-27	134	10670	121
2017-02-05	233	10671	188
2018-02-24	497	10672	41
2017-01-28	337	10676	75
2017-02-25	389	10683	9
2017-03-03	1	10684	408
2017-02-11	493	10685	28
2017-03-16	266	10685	121
2019-02-20	494	10686	219
2019-03-06	451	10688	156
2019-03-14	270	10688	10
2018-02-11	237	10690	61
2017-03-19	160	10691	114
2019-01-14	41	10692	185
2019-01-06	454	10696	230
2019-03-02	48	10697	130
2018-02-28	68	10698	129
2019-02-21	238	10698	24
2019-03-02	273	10698	146
2019-03-22	139	10699	137
2019-01-10	189	10700	174
2017-03-11	84	10701	53
2019-03-13	67	10701	131
2018-02-28	486	10702	216
2018-02-06	187	10704	128
2019-01-03	114	10704	119
2019-02-25	403	10704	171
2018-03-21	339	10706	189
2019-03-11	51	10708	229
2019-02-28	293	1071	91
2017-03-04	119	10712	161
2018-01-15	57	10712	154
2018-01-24	6	10714	34
2019-03-06	192	10714	159
2019-03-24	402	10716	343
2018-03-18	387	10718	235
2019-01-10	390	10719	3
2019-02-09	481	1072	202
2018-03-01	400	10720	129
2019-03-30	240	10720	66
2018-03-03	57	10723	214
2019-03-25	277	10729	236
2019-01-16	411	1073	131
2018-01-19	233	10731	120
2018-02-06	301	10733	121
2017-03-02	258	10734	134
2017-01-21	135	10735	143
2017-03-13	89	10735	105
2017-03-28	483	10741	192
2017-03-08	302	10742	187
2017-02-01	122	10745	117
2017-02-14	284	10748	286
2017-03-09	427	10750	156
2019-03-20	389	10750	67
2017-02-19	267	10754	208
2017-01-22	103	10755	872
2018-01-22	311	10756	71
2018-02-03	315	10757	59
2019-01-24	183	10757	202
2018-01-23	445	10768	53
2019-02-16	33	10769	163
2019-03-07	268	10770	135
2018-01-06	177	10772	124
2017-01-15	294	10773	166
2017-01-31	467	10773	237
2018-02-11	186	10776	140
2017-01-17	158	10777	544
2017-02-08	370	10780	112
2019-01-09	177	10782	205
2018-01-22	32	10785	207
2019-03-19	415	10785	54
2019-03-13	254	10786	107
2019-02-25	480	10791	154
2019-03-23	97	10791	22
2019-03-18	314	10803	94
2017-01-26	130	10805	95
2018-02-25	478	10805	230
2018-03-22	456	10805	376
2019-01-06	370	10805	498
2019-01-10	468	10808	218
2018-02-05	125	1081	127
2019-02-19	14	10812	126
2019-03-26	67	10815	49
2018-03-11	334	1082	66
2017-03-16	481	10820	33
2018-01-20	358	10823	10
2017-01-04	12	10824	40
2017-01-15	410	10825	218
2018-01-22	199	10826	129
2017-02-26	114	10829	136
2017-01-13	7	10830	43
2019-03-19	213	10830	217
2017-02-08	70	10833	96
2019-02-22	390	10833	189
2018-03-24	141	10834	119
2019-02-15	101	10835	167
2017-03-28	24	1084	138
2017-01-20	425	10843	27
2019-03-03	386	10845	200
2019-01-16	32	10846	87
2017-02-20	290	10849	10
2019-01-15	247	10851	223
2018-03-28	444	10852	222
2019-03-11	143	1086	228
2018-03-24	52	10860	85
2017-03-27	123	10863	124
2018-02-22	7	10864	98
2017-01-18	57	10866	212
2017-01-13	294	10867	52
2018-02-08	322	10867	14
2018-03-28	169	10867	59
2019-02-21	63	10870	94
2019-02-13	343	10873	172
2019-03-26	247	10873	193
2017-01-19	82	10874	76
2017-03-29	3	10874	237
2017-01-02	403	10876	189
2017-03-23	8	10877	67
2017-01-26	224	10879	79
2019-02-04	342	10881	140
2019-01-25	215	10883	255
2017-03-16	482	10886	22
2019-01-10	459	10886	599
2018-03-25	212	10887	556
2018-03-01	165	10889	114
2019-02-13	36	10890	74
2017-02-08	216	10891	29
2019-01-16	206	10891	137
2019-02-10	255	10892	239
2019-03-08	224	10892	199
2019-01-18	471	10895	183
2018-03-05	294	10896	54
2019-03-10	175	10896	233
2018-02-01	327	10897	11
2019-02-02	234	10897	66
2017-03-22	169	10898	124
2017-03-26	178	10900	178
2017-03-29	278	10900	56
2019-03-14	206	10900	87
2018-01-24	467	10901	117
2019-03-06	208	10902	63
2018-03-02	211	10906	176
2019-02-24	291	10906	191
2019-03-10	173	10906	6
2019-03-13	487	10908	296
2018-01-24	104	10912	126
2017-01-01	403	10914	171
2017-03-03	7	10914	130
2018-01-05	174	10914	214
2018-02-19	427	10915	67
2017-02-10	92	10916	219
2019-01-20	427	10916	45
2019-02-09	69	10917	166
2019-03-14	458	10917	73
2019-03-24	317	10917	134
2017-02-04	248	10919	96
2017-01-02	263	1092	179
2019-02-03	360	1092	168
2019-02-21	460	1092	155
2017-01-10	327	10922	139
2019-03-16	342	10923	129
2018-01-11	434	10925	172
2019-01-21	21	10925	8
2019-03-24	44	10925	70
2018-03-05	227	10936	453
2017-01-16	360	10937	76
2017-02-07	97	1094	113
2019-01-22	401	10943	126
2018-02-05	283	10946	65
2017-01-16	153	10949	121
2017-02-24	179	1095	151
2018-03-22	165	10950	194
2019-03-24	490	10953	44
2017-01-09	396	10955	90
2017-02-16	141	10960	460
2018-02-01	251	10961	184
2017-02-18	361	10962	210
2017-03-21	61	10962	72
2017-01-03	30	10963	221
2019-03-14	178	10963	284
