store_number	phone	street_address	zip_code	city_name	city_state	city_population
127	3250505831	4208 6-street	86382	Albuquerque	New Mexico	7500000
351	2764792529	6887 17-street	89554	Albuquerque	New Mexico	7500000
465	2881010576	3813 5-street	82726	Albuquerque	New Mexico	7500000
192	8575033501	9137 13-street	94303	Anaheim	California	3500000
410	8435722608	6788 9-street	97705	Anaheim	California	3500000
458	5200183506	5329 2-street	93324	Anaheim	California	3500000
135	7862232050	4471 21-street	97463	Anchorage	Alaska	5500000
158	3332051959	2984 5-street	99028	Anchorage	Alaska	5500000
25	9896433997	9072 18-street	94981	Anchorage	Alaska	5500000
272	8257683645	2266 12-street	97312	Anchorage	Alaska	5500000
291	6724020082	209 21-street	95952	Anchorage	Alaska	5500000
33	1942426865	8819 16-street	90553	Anchorage	Alaska	5500000
419	1779254886	5707 11-street	95325	Anchorage	Alaska	5500000
486	0660615119	7555 15-street	91845	Anchorage	Alaska	5500000
140	1317603313	3359 21-street	79376	Arlington	Texas	9500000
148	1691603751	9960 12-street	73575	Arlington	Texas	9500000
232	1648726400	6237 17-street	78842	Arlington	Texas	9500000
349	8141819634	156 1-street	77737	Arlington	Texas	9500000
450	2117311058	3121 1-street	73948	Arlington	Texas	9500000
18	9384697887	9786 7-street	31857	Atlanta	Georgia	10500000
106	1409340196	9021 15-street	82143	Aurora	Colorado	2500000
164	9500761378	6625 17-street	85455	Aurora	Colorado	2500000
175	7729444032	5101 14-street	88749	Aurora	Colorado	2500000
332	3286579483	422 6-street	88418	Aurora	Colorado	2500000
354	9650873162	3626 6-street	85347	Aurora	Colorado	2500000
412	2968351560	5811 3-street	80402	Aurora	Colorado	2500000
181	6984980940	8796 20-street	78780	Austin	Texas	10500000
350	3668749775	3941 3-street	79579	Austin	Texas	10500000
368	0540245228	193 7-street	76816	Austin	Texas	10500000
433	3527282705	5828 2-street	77839	Austin	Texas	10500000
438	5140115685	8912 1-street	76682	Austin	Texas	10500000
48	0344422889	8571 11-street	78194	Austin	Texas	10500000
491	0519786414	7296 1-street	76207	Austin	Texas	10500000
104	8801727399	4852 8-street	99611	Bakersfield	California	2500000
131	8789709384	2489 16-street	91370	Bakersfield	California	2500000
205	8729546595	9587 14-street	97086	Bakersfield	California	2500000
248	5566604643	9555 5-street	98565	Bakersfield	California	2500000
262	9295880354	2611 19-street	95736	Bakersfield	California	2500000
344	8311542903	9439 9-street	94951	Bakersfield	California	2500000
468	1616040699	199 10-street	92661	Bakersfield	California	2500000
470	4840512917	5696 5-street	94056	Bakersfield	California	2500000
5	1615002314	8893 1-street	93418	Bakersfield	California	2500000
157	7784490407	9570 3-street	28115	Baltimore	Maryland	2500000
319	4878798496	7368 6-street	28807	Baltimore	Maryland	2500000
373	9203739903	9231 17-street	21633	Baltimore	Maryland	2500000
